trade_id,symbol,side,strategy_id,regime,order_type,entry_price,exit_price,qty,gross_pnl,fee_entry,fee_exit,slippage_cost,net_pnl,net_pnl_pct,r_multiple,entry_ts,exit_ts
b3696a25,TRUMPUSDT,SHORT,ALPHA_VSE_v1,MEAN_REVERTING,LIMIT,2.5577671,2.555,6.32510462,0.017502196994000737,0.003235628900218801,0.0032321284608200006,0.0,0.011034439632961936,0.06820584172811513,0.0017412718372987119,1777157643643,1777157921747
f1b7278c,HYPERUSDT,SHORT,ALPHA_PBE_v1,TRENDING,LIMIT,0.1628,0.1629,99.0416375,-0.009904163749998909,0.003224795717,0.0032267765497499996,0.0,-0.01635573601674891,-0.10143734643733968,-0.0025808274713208746,1777159620356,1777159726518
299e52ab,ORCAUSDT,LONG,TF_EMA_RSI_v1,TRENDING,LIMIT,1.7864639,1.807,27.15141525,0.5575841787155236,0.009701004635606896,0.00981252147135,0.0,0.5380706526085667,1.1093091340944503,0.08491204592358394,1777195694465,1777196400265
eb03a57b,ZBTUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,0.17504747,0.1762,92.42308675,0.10652038017197611,0.0032356855010356044,0.0032569895770700004,0.0,0.1000277050938705,0.6182782910258486,0.015732326495945408,1777199459885,1777199512130
d13210d5,ENSOUSDT,SHORT,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,1.071,1.076,120.784757,-0.603923785000014,0.025872094949399998,0.025992879706400004,0.0,-0.655788759655814,-0.5069467787114954,-0.1030774052051703,1777200210809,1777200266578
f23a399d,ETHUSDT,SHORT,ALPHA_TCB_v1,TRENDING,LIMIT,2332.2,2332.1,0.055477,0.005547699999994955,0.02587669188,0.02587558234,0.0,-0.046204574220005054,-0.035711345510680524,-0.00729227351525466,1777200540399,1777200555384
2e68bad3,CHIPUSDT,LONG,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,0.06822,0.06835,474.60000375,0.06169800048749584,0.006475442451165,0.0064877820512624996,0.0,0.04873477598506834,0.15052184110230318,0.02825204404931498,1777200659760,1777200661532
d8f3b8d4,HYPERUSDT,SHORT,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,0.1282,0.1281,1007.600942,0.10076009420001687,0.02583488815288,0.02581473613404,0.0,0.04911046991309687,0.038018720748843014,0.028469837630780793,1777200660061,1777200804993
a83acd46,ENSOUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,1.107,1.113,116.87739,0.7012643400000007,0.025876654146,0.026016907014000005,0.0,0.6493707788400007,0.5018970189701902,0.10248583991035648,1777200719793,1777200795085
d49a8807,AXSUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,1.4045785,1.408,92.162308,0.3153333368219969,0.0258898392654356,0.0259529059328,0.0,0.26349059162376126,0.20354749129364905,0.04560791228147426,1777200839769,1777201177834
89eb850d,BTCUSDT,LONG,ALPHA_PBE_v1,TRENDING,LIMIT,78002.42,78004.99,0.00166,0.004266200000011595,0.025896803440000005,0.025897656680000002,0.0,-0.04752826011998842,-0.03670588938137178,-0.008226725307667668,1777201079713,1777201203492
10c31926,ETHUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,2334.33,2333.91,0.055485,-0.02330370000000404,0.02590406001,0.025899399269999998,0.0,-0.07510715928000404,-0.05798871624834846,-0.00589306859788184,1777201319598,1777201333249
