trade_id,symbol,side,strategy_id,regime,order_type,entry_price,exit_price,qty,gross_pnl,fee_entry,fee_exit,slippage_cost,net_pnl,net_pnl_pct,r_multiple,entry_ts,exit_ts
b2527c9f,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.915,1.918,84.50494,-0.25351481999999087,0.06473078404,0.064832189968,0.09717223050599999,-0.48025002451399085,-0.2967676240208821,-0.039569088284913144,1779063899393,1779063958176
c3cd72da,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0497,0.0493,3254.143058,-1.3016572232000148,0.06469236399304,0.06417170110376,0.09664804882259999,-1.5271693371194148,-0.9442655935613773,-0.12590226855508047,1779063961424,1779064049943
f48325a7,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.92,1.923,84.075769,-0.25222730700000956,0.064570190592,0.0646710815148,0.09693095408009998,-0.47839953318690953,-0.296359375000006,-0.11854483427170918,1779064620257,1779064676095
eec552b8,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.923,1.926,83.89485,-0.2516845499999909,0.06453191862000002,0.06463259244,0.09687338329499999,-0.4777224443549909,-0.296115444617779,-0.11844749686477013,1779065281953,1779065518107
e0fa5874,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0503,0.0501,3207.351814,0.6414703627999961,0.06453191849768,0.06427533035256,0.09660543663768,0.41605767731207616,0.2578926441351865,0.10315820621642273,1779065459580,1779065715741
cce1d63d,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0496,0.0498,3252.368211,0.650473642199996,0.06452698530624,0.06478717476312,0.09698562005201998,0.42417386207861607,0.2629435483870944,0.10517837339845176,1779066120206,1779066526168
5e548cd2,ETHUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2114.63,2116.93,0.076326,-0.1755497999999792,0.06456049975200001,0.064630719672,0.096893414568,-0.4016344339919792,-0.2488422088024726,-0.0995351872300511,1779066538886,1779066614890
df057d43,BTCUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,77281.8,76981.01,0.002087,0.627748730000017,0.06451484664,0.064263747148,0.09658394534099998,0.402386190871017,0.24948439736135566,0.0997734170272792,1779066659805,1779067334456
7832b1c7,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0507,0.0509,3181.892922,-0.6363785843999962,0.06452878845816,0.06478333989192,0.09698409626256,-0.8626748090126362,-0.5347534516765262,-0.2139039943001825,1779066839512,1779067011829
38e49b5c,ETHUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2111.1,2111.85,0.076372,0.057279,0.06449157168,0.06451448327999999,0.09675454121999998,-0.16848159618,-0.10449836578087254,-0.04179958721313915,1779067558997,1779068074475
79f2f505,BTCUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,76898.81,76898.56,0.002097,-0.00052425,0.064502721828,0.064502512128,0.09675392546699998,-0.226283409423,-0.14032487498831256,-0.056139978024412625,1779067679032,1779068159069
31d94d07,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0497,0.0503,3242.474053,1.9454844317999882,0.06446038417364,0.06523857794636,0.09727422158999999,1.7185112480899882,1.0663983903420449,0.4265566044703108,1779068219531,1779068643832
164cbbef,TONUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.934,1.932,83.325212,-0.16665042400000013,0.06446038400319999,0.0643937238336,0.09664058087759998,-0.3921451127144001,-0.24334022750775605,-0.09733546284610804,1779068400052,1779068694490
a5950dde,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0507,0.051,3231.50842514,-0.9694525275419829,0.0655349908618392,0.065922771872856,0.09859332205102138,-1.1995036123276994,-0.7321301775147825,-0.29724528233327535,1779069013396,1779069198160
4b3b6a08,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.951,1.951,82.612164,0.0,0.06447053278560001,0.06447053278560001,0.0967057991784,-0.22564686474960002,-0.13999999999999999,-0.05600011533965355,1779069239218,1779069719378
c9b07fa4,ETHUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2119.41,2121.24,0.076048,-0.13916783999999446,0.064470756672,0.064526423808,0.09674788536,-0.3649129058399945,-0.22640522598269927,-0.09056259141311225,1779069419565,1779069902541
3daeba4f,BTCUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,77128.4,77144.89,0.00209,-0.03446410000001095,0.0644793424,0.06449312804,0.09672935282999999,-0.2601659232700109,-0.1613948986365661,-0.06456691399960564,1779069539456,1779070020162
69989afd,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0516,0.0518,3123.572344,-0.6247144687999963,0.06447053318016,0.06472041896768001,0.09689321411088,-0.8507986350587162,-0.5278682170542612,-0.21114772300062448,1779069540331,1779069600471
e4c815a7,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0503,0.05,3197.535349,-0.9592606046999832,0.06433441122188,0.06395070698000001,0.09621383865140999,-1.1837595615532732,-0.7360039761431307,-0.2944016418098618,1779070619520,1779070659763
cfa5ad28,ETHUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2122.6,2121.85,0.075662,0.05674649999999999,0.06424006448,0.06421736587999999,0.09634307276999998,-0.16805400312999996,-0.1046412418731744,-0.04185653876214196,1779073679479,1779075890142
4d1457f0,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0509,0.051,3155.192066,-0.31551920659998717,0.06423971046376001,0.0643659181464,0.09645422145762,-0.5405790566677672,-0.33660117878191737,-0.13463986467441275,1779073861974,1779073908738
ada7eb28,BTCUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,76878.3,76905.77,0.002088,0.05735736000000243,0.06420875616,0.064231699104,0.096330341448,-0.16741343671199757,-0.10429321277915721,-0.04172505463499678,1779074459350,1779075051855
21865da3,TONUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.935,1.932,82.941168,-0.24882350400000944,0.06419646403200001,0.0640969346304,0.0962200489968,-0.47333695165920947,-0.29493023255814543,-0.11797147562724858,1779074659658,1779074765804
b4547f2a,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.948,1.945,82.30462,0.24691385999999108,0.06413175990400001,0.06403299436,0.09612356569799999,0.022625540037991082,0.01411190965091846,0.005644813142555531,1779075899192,1779076840734
89fac8d9,BTCUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,76984.74,76957.76,0.002083,0.05619934000002183,0.06414368536800001,0.06412120563200001,0.09619866825,-0.16826421924997817,-0.10492956136500493,-0.041979995821061364,1779075959896,1779076732840
a0959834,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0533,0.0529,3007.509789,-1.2030039155999928,0.06412010870148001,0.06363890713524001,0.09581926187754,-1.4265821933142528,-0.889943714821759,-0.35597808941091774,1779077159608,1779077332826
ac82e64d,ETHUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2120.02,2122.32,0.075478,-0.17359940000001373,0.064005947824,0.06407538758400001,0.09606100155599999,-0.3977417369640137,-0.24856548523127997,-0.09942549169183425,1779079259092,1779079509999
384821ee,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.94,1.943,82.440931,-0.2473227930000094,0.063974162456,0.06407309157320001,0.0960354405219,-0.47140548755110945,-0.2947474226804183,-0.11789853130029748,1779079799296,1779080020112
1f5318fb,BTCUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,76956.73,77029.75,0.002078,-0.15173556000000846,0.063966433976,0.0640271282,0.095995171632,-0.3757242938080084,-0.23495090812720873,-0.09396866091636864,1779079799410,1779080280074
fffd0cb8,ETHUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2120.24,2122.54,0.075433,-0.17349590000001372,0.063974425568,0.064043823928,0.096013687122,-0.3975278366180137,-0.2485542202769584,-0.09942172784564168,1779079859530,1779079939999
41704c9f,EDENUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0588,0.0592,2718.637779,-1.0874551116000124,0.06394236056208,0.06437734260672001,0.0962397773766,-1.3120145921454125,-0.8207482993197356,-0.32829911724187083,1779079979723,1779080366777
99fef84f,EDENUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,0.0572,0.0567,1950.9938945,-0.9754969472500008,0.044638740306159996,0.04424854152726,0.066665461375065,-1.131049690458486,-1.0135139860139868,-0.28378404517725964,1779080819595,1779080975060
4b989b9a,ETHUSDT,LONG,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,2120.47,2121.21,0.075077,0.055556980000017755,0.063679410476,0.063701633268,0.09553578280799999,-0.16735984655198222,-0.10512650497294293,-0.04205126926605749,1779081480112,1779082703887
22f29e45,BTCUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,77050.0,76583.5,0.002066,0.963789,0.06367412000000001,0.06328860440000002,0.0952220433,0.7416042322999999,0.46587482154445153,0.1863374035277268,1779082258932,1779084654289
87af8ba9,TONUSDT,SHORT,MeanReversion_PAPER_SPEED,MEAN_REVERTING,MARKET,1.957,1.96,81.406598,-0.2442197939999912,0.06372508491440002,0.063822772832,0.09566089330979999,-0.4674285450561912,-0.2934031681144553,-0.11736179196951671,1779085558836,1779085591016
